,artist_name,track_name,url
0,William Singe,Pony,http://open.spotify.com/track/4Lj8paMFwyKTGfILLELVxt
1,Radiohead,My Iron Lung (2 Meter Session),http://open.spotify.com/track/0q3X2Ichc3Q2QJRciJcIGT
2,Alan Menken,Jafar's Hour,http://open.spotify.com/track/4Tc4lxmV36PiWH8dXoWnuo
3,Falcom Sound Team jdk,The Valley of the Kings,http://open.spotify.com/track/0zjdnhaXvKybmwY1FQBmfu
4,The 1975,Sex,http://open.spotify.com/track/0wIFAHbaUucA8mog7Y2IDD
5,Anita Baker,Good Love,http://open.spotify.com/track/3N9gMvqTuaZWRaE6JZHzqP
6,Gorillaz,Stylo (feat. Mos Def and Bobby Womack),http://open.spotify.com/track/6LUfuyLgvgqrykiTE6sJHY
7,Declan J Donovan,Fallen so Young,http://open.spotify.com/track/3y4uSQwxHckyRcvafEilkN
8,GLAY,超音速デスティニー,http://open.spotify.com/track/54JVtDltT38oY0B7QxhbAv
9,The Expanders,Put Those Fools,http://open.spotify.com/track/5gJKVJnNQLmdmf94TdE8ko
10,Kevin Penkin,Walking the Streets,http://open.spotify.com/track/5tur1KIhNEZkm8y7lGzXre
11,Key Glock,Maybach,http://open.spotify.com/track/3THlMag2mVgUTs0qg0uai9
12,Water Liars,Let It Breathe,http://open.spotify.com/track/52uKQxYJKHpYz0DEwKLltI
13,Alexandre Desplat,The Swings Of Central Park,http://open.spotify.com/track/5C10WCl8ePAxW6Gw8djSaf
14,Travis Scott,Mamacita,http://open.spotify.com/track/3SEd8nPd8MpGwk6ZZ8tk2j
15,The Walters,City Blues,http://open.spotify.com/track/1xafrgeBMaBBrnr1e7rkaC
16,Aphex Twin,Goon Gumpas,http://open.spotify.com/track/72tmERTlZn90IJ0px2B38Q
17,Henry Jamison,If You Could Read My Mind,http://open.spotify.com/track/1AcMGe32z1DoV61PPCFTFn
18,Derez De’Shon,Too Many Nights (feat. Trouble),http://open.spotify.com/track/1roUC56f2k70UtnNXQobce
19,Normani,Checklist (with Calvin Harris) (feat. WizKid),http://open.spotify.com/track/6r05pfZigq7Arg25pi2vRm
20,Deep Purple,Soldier of Fortune,http://open.spotify.com/track/5NDyPVjcjK0hw2sUjjWFIO
21,Lynyrd Skynyrd,The Ballad Of Curtis Loew,http://open.spotify.com/track/6PPhp1qpAjLUxQr75vSD4H
